Filiale,Datum,Uhrzeit,Artikel,Anzahl,Preis,Verkäufer,Kunde
A,3.9.2012,10:21,2001,5,1.49,Carlo,
B,3.9.2012,10:12,0001,1,9.99,Felix,
B,3.9.2012,10:12,4001,2,1.99,Felix,
B,3.9.2012,10:12,2147,5,6.29,Felix,
A,4.9.2012,8:10,0001,1,9.99,Carlo,11
A,4.9.2012,8:10,2001,5,1.49,Carlo,11
A,4.9.2012,8:11,2007,5,2.49,Carlo,11
A,4.9.2012,8:11,4001,1,1.49,Carlo,11
A,4.9.2012,8:12,0001,1,9.99,Carlo,13
A,4.9.2012,8:12,4001,5,1.99,Carlo,13
A,4.9.2012,8:12,2147,5,6.49,Carlo,13
A,4.9.2012,8:12,4001,1,1.49,Carlo,13
A,4.9.2012,8:21,4001,2,1.99,Katharina,14
A,4.9.2012,9:10,0002,3,3.99,Carlo,
A,4.9.2012,9:10,2001,5,1.49,Carlo,
A,4.9.2012,9:11,2007,5,2.49,Carlo,
B,4.9.2012,9:10,0007,1,9.99,Felix,11
B,4.9.2012,9:10,2001,2,1.49,Felix,11
B,4.9.2012,9:11,2007,5,2.39,Felix,11
B,4.9.2012,9:11,4001,1,1.59,Felix,11
B,4.9.2012,8:12,0001,1,9.99,Felix,13
B,4.9.2012,8:12,4001,5,1.99,Felix,13
B,4.9.2012,8:12,2147,5,6.49,Felix,13
B,4.9.2012,8:12,4001,1,1.49,Felix,13
B,4.9.2012,8:21,4001,2,1.99,Felix,14
B,4.9.2012,9:10,0002,1,3.99,Felix,
B,4.9.2012,9:10,2001,1,9.49,Felix,
B,4.9.2012,9:11,2007,2,2.49,Felix,
B,4.9.2012,9:20,2147,1,2.49,Felix,
B,4.9.2012,9:20,2147,1,2.49,Felix,
B,4.9.2012,9:20,2147,1,2.49,Felix,
B,4.9.2012,10:20,2147,1,2.49,Felix,
A,4.9.2012,10:21,0001,1,9.99,Carlo,
A,4.9.2012,10:21,2001,5,9.99,Carlo,
A,4.9.2012,10:21,2001,5,1.49,Carlo,
B,4.9.2012,17:12,0001,1,9.99,Felix,13
B,4.9.2012,17:12,4001,2,1.99,Felix,13
B,4.9.2012,17:12,2147,5,6.29,Felix,13
A,4.9.2012,18:09,0001,1,9.99,Carlo,11
A,4.9.2012,18:09,2001,5,1.49,Carlo,11
A,4.9.2012,18:09,2007,3,2.49,Carlo,11
A,4.9.2012,18:09,4001,2,1.49,Carlo,11
A,4.9.2012,18:12,0001,1,9.99,Carlo,13
A,4.9.2012,18:12,4001,5,1.99,Carlo,13
A,4.9.2012,18:12,2147,5,6.49,Carlo,13
A,4.9.2012,18:12,4001,1,1.49,Carlo,13
A,4.9.2012,18:21,4001,2,1.99,Katharina,14
A,4.9.2012,13:10,0001,1,3.99,Carlo,
A,4.9.2012,13:10:10,2001,5,1.49,Carlo,
A,4.9.2012,13:11,2007,5,2.49,Carlo,
A,4.9.2012,13:11,0007,1,9.99,Carlo,
A,4.9.2012,13:11,2001,2,1.49,Carlo,
A,4.9.2012,13:13,2007,5,2.39,Carlo,
A,4.9.2012,14:12,4001,1,1.59,Carlo,
B,4.9.2012,18:07,0001,1,9.99,Felix,
B,4.9.2012,18:12,4001,5,1.99,Felix,13
B,4.9.2012,18:12,2147,2,6.49,Felix,13
B,4.9.2012,18:12,4001,1,1.49,Felix,13
B,4.9.2012,18:21,4001,2,1.99,Felix,14
B,4.9.2012,18:45,0002,1,3.99,Felix,
B,4.9.2012,18:45,2001,1,1.49,Felix,
B,4.9.2012,18:45,2007,3,2.49,Felix,
B,4.9.2012,18:46,2147,1,2.49,Felix,
B,4.9.2012,18:46,2147,1,2.49,Felix,
B,4.9.2012,18:46,2147,1,2.49,Felix,
B,4.9.2012,18:46,2147,1,2.49,Felix,
A,4.9.2012,18:46,0001,1,9.99,Carlo,
A,4.9.2012,18:46,2001,5,1.49,Carlo,
A,4.9.2012,18:47,2001,5,1.49,Carlo,
B,4.9.2012,18:47,0001,1,9.99,Felix,15
B,4.9.2012,18:47,4001,2,1.99,Felix,15
B,4.9.2012,18:47,2147,5,6.29,Felix,15
A,4.9.2012,12:10,0001,1,9.99,Carlo,16
A,4.9.2012,12:10,2001,5,1.49,Carlo,16
A,4.9.2012,12:11,2007,5,2.49,Carlo,16
A,4.9.2012,12:11,4001,1,1.49,Carlo,16
A,4.9.2012,12:35,0001,1,9.99,Carlo,17
A,4.9.2012,12:35,4001,5,1.99,Carlo,17
A,4.9.2012,12:35,2147,5,6.49,Carlo,17
A,4.9.2012,12:35,4001,1,1.49,Carlo,17
A,4.9.2012,13:39,4001,2,1.99,Katharina,18
A,4.9.2012,13:10,0002,1,3.99,Carlo,
A,4.9.2012,15:10,2001,5,1.49,Carlo,
A,4.9.2012,15:11,2007,5,2.49,Carlo,
B,4.9.2012,18:49,0007,1,9.99,Felix,18
B,4.9.2012,18:49,2001,2,1.49,Felix,18
B,4.9.2012,18:49,2007,5,2.39,Felix,18
B,4.9.2012,18:49,4001,1,1.59,Felix,18
B,4.9.2012,18:51,0001,1,9.99,Felix,19
B,4.9.2012,18:51,4001,5,1.99,Felix,19
B,4.9.2012,18:51,2147,5,6.49,Felix,19
B,4.9.2012,18:51,4001,1,1.49,Felix,19
B,4.9.2012,18:55,4001,2,1.99,Felix,
B,4.9.2012,18:5,0002,1,3.99,Felix,
B,4.9.2012,18:11,2007,1,2.49,Felix,
B,4.9.2012,18:20,2147,1,2.49,Felix,
B,4.9.2012,18:20,2147,1,2.49,Felix,
B,4.9.2012,18:20,2147,1,2.49,Felix,
B,4.9.2012,18:20,2147,1,2.49,Felix,
A,4.9.2012,18:21,0001,1,9.99,Carlo,
A,4.9.2012,18:21,2001,5,9.99,Carlo,
A,4.9.2012,18:21,2001,5,1.49,Carlo,
B,4.9.2012,18:12,0001,1,9.99,Felix,
B,5.9.2012,10:12,4001,2,1.99,Felix,13
B,5.9.2012,10:12,2147,5,6.29,Felix,13
A,5.9.2012,11:10,0001,1,9.99,Carlo,11
A,5.9.2012,11:10,2001,5,1.49,Carlo,11
A,5.9.2012,11:11,2007,5,2.49,Carlo,11
A,5.9.2012,11:11,4001,1,1.49,Carlo,11
A,5.9.2012,11:12,0001,1,9.99,Carlo,13
A,5.9.2012,11:12,4001,5,1.99,Carlo,13
A,5.9.2012,11:12,2147,5,6.49,Carlo,
A,5.9.2012,11:12,4001,1,1.49,Carlo,
A,5.9.2012,11:21,4001,2,1.99,Katharina,14
A,5.9.2012,12:10,0001,1,3.99,Carlo,
A,5.9.2012,12:10,2001,5,1.49,Carlo,
A,5.9.2012,12:11,2007,5,2.49,Carlo,
B,5.9.2012,10:10,0007,1,9.99,Felix,11
B,5.9.2012,10:10,2001,2,1.49,Felix,11
B,5.9.2012,10:11,2007,5,2.39,Felix,11
B,5.9.2012,10:11,4001,1,1.59,Felix,11
B,5.9.2012,10:12,0001,1,9.99,Felix,17
B,5.9.2012,10:21,4001,5,1.99,Felix,
B,5.9.2012,11:12,2147,5,6.49,Julia,18
B,5.9.2012,11:12,4001,1,1.49,Julia,18
B,5.9.2012,11:21,4001,2,1.99,Julia,19
B,5.9.2012,11:47,0002,1,3.99,Julia,
B,5.9.2012,11:47,2001,1,1.49,Julia,
B,5.9.2012,11:49,2007,1,2.49,Julia,
B,5.9.2012,11:51,2147,1,2.49,Julia,
B,5.9.2012,11:51,2147,1,2.49,Julia,
B,5.9.2012,12:01,2147,1,2.49,Julia,
B,5.9.2012,12:06,2147,1,2.49,Julia,
A,5.9.2012,12:06,0001,1,9.99,Carlo,
A,5.9.2012,12:07,2001,5,1.49,Carlo,
A,5.9.2012,12:08,2001,5,1.49,Carlo,
A,5.9.2012,12:10,0001,1,9.99,Katharina,
A,5.9.2012,12:30,4001,2,1.99,Katharina,13
A,5.9.2012,12:35,2147,5,6.29,Katharina,
B,1.10.2012,11:51,2147,2,2.49,Julia,
B,1.10.2012,12:51,2147,2,2.49,Julia,
B,1.10.2012,11:01,2147,2,2.49,Felix,
B,1.10.2012,11:06,2147,1,2.49,Felix,
A,1.10.2012,17:06,0001,2,9.99,Carlo,
A,1.10.2012,14:07,2001,10,1.49,Carlo,
A,1.10.2012,16:08,2001,3,1.49,Carlo,
A,1.10.2012,16:10,0001,2,9.99,Katharina,






